Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size 
1726158384,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158385,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158386,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158387,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158388,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158389,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158390,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158391,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158392,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158393,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158394,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158395,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158396,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158397,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158398,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158399,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158400,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158401,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158402,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158403,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158404,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158405,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158406,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158407,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
1726158408,0,,Aggregated,221.800000,221.800000,340,340,350,350,360,380,410,430,540,780,1400,10201,10201,340.0,341.36395326906114,302.6421000249684,1368.9627000130713,37.04597588471719
